"Kyn";"Ár";"Landsvæði";"Alls Aðfluttir umfram brottflutta";"Alls Aðfluttir";"Alls Brottfluttir";"Íslenskir ríkisborgarar Aðfluttir umfram brottflutta";"Íslenskir ríkisborgarar Aðfluttir";"Íslenskir ríkisborgarar Brottfluttir";"Erlendir ríkisborgarar Aðfluttir umfram brottflutta";"Erlendir ríkisborgarar Aðfluttir";"Erlendir ríkisborgarar Brottfluttir"
"Alls";"1986";"Alls";-261;2703;2964;-438;2041;2479;177;662;485
"Alls";"1986";"Höfuðborgarsvæði";-73;1895;1968;-179;1470;1649;106;425;319
"Alls";"1986";"Suðurnes";-30;158;188;-43;129;172;13;29;16
"Alls";"1986";"Vesturland";-86;71;157;-75;61;136;-11;10;21
"Alls";"1986";"Vestfirðir";-9;88;97;-31;44;75;22;44;22
"Alls";"1986";"Norðurland vestra";-28;42;70;-28;38;66;0;4;4
"Alls";"1986";"Norðuland eystra";-29;198;227;-44;154;198;15;44;29
"Alls";"1986";"Austurland";1;100;99;-12;49;61;13;51;38
"Alls";"1986";"Suðurland";-8;150;158;-27;95;122;19;55;36
"Alls";"1986";"Ótilgreint";1;1;-;1;1;-;-;-;-
"Alls";"1987";"Alls";1208;3616;2408;682;2598;1916;526;1018;492
"Alls";"1987";"Höfuðborgarsvæði";847;2478;1631;518;1821;1303;329;657;328
"Alls";"1987";"Suðurnes";93;219;126;48;157;109;45;62;17
"Alls";"1987";"Vesturland";65;155;90;41;121;80;24;34;10
"Alls";"1987";"Vestfirðir";10;91;81;2;52;50;8;39;31
"Alls";"1987";"Norðurland vestra";42;76;34;18;44;26;24;32;8
"Alls";"1987";"Norðuland eystra";52;241;189;27;177;150;25;64;39
"Alls";"1987";"Austurland";33;136;103;-4;76;80;37;60;23
"Alls";"1987";"Suðurland";71;220;149;32;150;118;39;70;31
"Alls";"1987";"Ótilgreint";-5;-;5;-;-;-;-5;-;5
"Alls";"1988";"Alls";1466;4151;2685;539;2395;1856;927;1756;829
"Alls";"1988";"Höfuðborgarsvæði";832;2637;1805;359;1637;1278;473;1000;527
"Alls";"1988";"Suðurnes";160;325;165;73;187;114;87;138;51
"Alls";"1988";"Vesturland";21;134;113;-23;74;97;44;60;16
"Alls";"1988";"Vestfirðir";119;233;114;-5;49;54;124;184;60
"Alls";"1988";"Norðurland vestra";49;105;56;28;67;39;21;38;17
"Alls";"1988";"Norðuland eystra";49;264;215;18;176;158;31;88;57
"Alls";"1988";"Austurland";96;180;84;41;80;39;55;100;45
"Alls";"1988";"Suðurland";126;258;132;34;110;76;92;148;56
"Alls";"1988";"Ótilgreint";14;15;1;14;15;1;-;-;-
"Alls";"1989";"Alls";-1086;2755;3841;-1148;1735;2883;62;1020;958
"Alls";"1989";"Höfuðborgarsvæði";-755;1845;2600;-818;1229;2047;63;616;553
"Alls";"1989";"Suðurnes";-80;155;235;-68;115;183;-12;40;52
"Alls";"1989";"Vesturland";-18;132;150;-39;71;110;21;61;40
"Alls";"1989";"Vestfirðir";-81;97;178;-51;41;92;-30;56;86
"Alls";"1989";"Norðurland vestra";-20;57;77;-23;34;57;3;23;20
"Alls";"1989";"Norðuland eystra";-63;159;222;-75;88;163;12;71;59
"Alls";"1989";"Austurland";-34;110;144;-34;56;90;0;54;54
"Alls";"1989";"Suðurland";-16;200;216;-28;101;129;12;99;87
"Alls";"1989";"Ótilgreint";-19;-;19;-12;-;12;-7;-;7
"Alls";"1990";"Alls";-681;3166;3847;-751;2055;2806;70;1111;1041
"Alls";"1990";"Höfuðborgarsvæði";-567;2118;2685;-437;1532;1969;-130;586;716
"Alls";"1990";"Suðurnes";-40;153;193;-51;91;142;11;62;51
"Alls";"1990";"Vesturland";-25;136;161;-73;56;129;48;80;32
"Alls";"1990";"Vestfirðir";1;172;171;-69;29;98;70;143;73
"Alls";"1990";"Norðurland vestra";1;66;65;-16;40;56;17;26;9
"Alls";"1990";"Norðuland eystra";-69;171;240;-73;118;191;4;53;49
"Alls";"1990";"Austurland";10;134;124;-19;80;99;29;54;25
"Alls";"1990";"Suðurland";9;216;207;-13;109;122;22;107;85
"Alls";"1990";"Ótilgreint";-1;-;1;-;-;-;-1;-;1
"Alls";"1991";"Alls";1007;3989;2982;286;2281;1995;721;1708;987
"Alls";"1991";"Höfuðborgarsvæði";572;2552;1980;278;1711;1433;294;841;547
"Alls";"1991";"Suðurnes";57;233;176;-16;117;133;73;116;43
"Alls";"1991";"Vesturland";106;192;86;3;58;55;103;134;31
